PLOT,Rel.To.Brook,Transect,UTM_EASTING,UTM_NORTHING,PH,MOISTURE.pct,OM.pct,Cd,Cu,Ni,Cr,Co,Zn,Mn,Ca.pct,Ca,Mg.pct,Mg,Al.pct,Al,Fe.pct,Fe,P,S,B,Ti.pct,Ti,K.pct,K,Na.pct,Na,EXCH_Al,EXCH_As,EXCH_B,EXCH_Ca,EXCH_Cd,EXCH_Co,EXCH_Cr,EXCH_Cu,EXCH_Fe,EXCH_K,EXCH_Mg,EXCH_Mn,EXCH_Mo,EXCH_Ni,EXCH_P,EXCH_Pb,EXCH_Se,EXCH_Sr,EXCH_V,EXCH_Zn,SUM_BC,GRAVEL,SANDSILTCLAY,VERYCOARSESAND,COARSESAND,MEDIUMSAND,FINESAND,VERYFINESAND,SILTCLAY,DATE
71,North,E279000,279000,4870600,4.12,3.296,11.364,0.687,18.636,11.084,23.638,10.103,36.095,278.657,0.202,2023,0.281,2819,2.602,26022,2.907,29077,622.343,NA,15.791,0.45,4506,2.05,20504,1.147,11476,0.469403752,0.000110106,NA,0.10430442,0.000150206,0.001038537,NA,NA,0.036102999,0.036699295,0.013848812,0.00692024,NA,0.002715035,NA,0.001392626,NA,0.000702764,NA,0.004633698,0.007380057,16.147,83.852,3.043,15.132,19.349,11.681,5.764,28.914,1997/1998
74,North,E279000,279000,4870800,4.26,4.786,13.263,NA,17.325,12.684,20.934,9.075,22.481,400.95,0.338,3382,0.258,2586,3.767,37672,3.276,32763,1035.479,39.29,14.953,0.387,3873,1.941,19415,0.99,9900,0.571942069,NA,NA,0.030218641,8.62E-05,0.001303612,NA,NA,0.045626275,0.040636271,0.012613573,0.009453507,NA,0.003140957,NA,0.001909617,2.94E-05,0.000215194,NA,0.002209311,0.003719794,13.456,86.543,2.949,15.865,20.299,11.798,6.595,29.035,1997/1998
94,South,E279000,279000,4868200,4.61,10.342,10.579,NA,15.206,13.484,25.917,11.572,42.366,316.929,0.433,4325,0.416,4168,2.905,29056,2.994,29940,583.173,15.779,21.995,0.526,5266,1.454,14548,1.338,13389,0.354866759,NA,NA,0.12048633,7.57E-05,0.000182842,3.79E-05,0.00027526,0.002967625,0.026538816,0.014076942,0.003955589,3.06E-05,0.001016643,NA,0.000965351,3.40E-05,0.001114152,4.04E-05,0.004361112,0.008075526,6.972,93.027,2.369,12.985,19.846,16.985,10.012,30.783,1997/1998
95,South,E279000,279000,4868100,4.58,4.071,9.21,0.637,11.19,14.647,26.564,14.01,38.026,357.248,0.331,3311,0.357,3578,2.386,23861,3.1,31004,570.577,23.561,18.285,0.512,5127,1.273,12735,1.328,13282,0.404261263,NA,NA,0.093859754,7.52E-05,0.000738635,NA,0.000296596,0.013375033,0.033282058,0.015106398,0.011617208,0.000013321,0.001474823,NA,0.001118917,NA,0.000771711,NA,0.002991738,0.007056147,7.839,92.16,2.423,13.097,24.535,18.359,10.513,23.532,1997/1998
96,South,E279000,279000,4867900,4.43,12.353,15.975,1.131,20.261,13.193,35.245,13.288,35.34,247.66,0.089,891,0.171,1710,0.931,9318,4.189,41893,861.531,403.342,21.58,0.537,5376,1.406,14067,1.215,12157,0.411689763,NA,NA,0.052956715,4.63E-05,0.000458729,1.03E-05,0.000132406,0.003938247,0.040550318,0.010982514,0.009870704,4.17E-06,0.001038395,NA,0.000949473,NA,0.000390093,NA,0.001684221,0.004868389,12.657,87.342,4.048,20.029,23.758,13.381,7.457,18.558,1997/1998
97,South,E279000,279000,4867800,4.34,5.433,16.719,1.28,14.079,14.463,40.19,14.975,34.686,235.122,0.506,5061,0.289,2893,1.812,18126,3.837,38373,740.563,57.34,22.91,0.615,6152,1.329,13296,1.139,11391,0.672194359,1.20E-06,NA,0.066487893,0.000146863,0.000957544,0.000016341,NA,0.024821234,0.054706683,0.018461437,0.008770162,NA,0.001702788,NA,0.002389265,NA,0.000501821,2.89E-05,0.005003096,0.006415207,17.475,82.524,4.69,13.645,16.463,9.993,6.507,31.371,1997/1998
98,South,E279000,279000,4867600,4.36,13.269,17.784,1.481,12.144,16.785,39.296,22.215,46.8,271.517,0.089,886,0.314,3144,1.26,12604,4.088,40888,995.034,82.146,32.088,0.553,5539,1.425,14250,1.135,11354,0.398690573,NA,NA,0.038847003,5.91E-05,0.000484555,NA,5.61E-05,0.00047104,0.038269157,0.010405861,0.017937174,NA,0.001194973,NA,0.000932588,NA,0.000490914,NA,0.001569215,0.004182462,2.691,97.308,2.416,13.046,14.712,12.718,8.869,45.99,1997/1998
99,South,E279000,279000,4867500,4.15,18.738,22.016,1.173,15.89,12.797,31.993,26.341,31.993,714.088,0.325,3249,0.267,2670,1.678,16787,5.824,58242,897.728,468.486,20.262,0.516,5160,1.098,10989,0.906,9065,0.490760705,NA,NA,0.02879583,2.60E-05,0.000444601,1.30E-05,0.00062182,0.002395777,0.030684738,0.00969171,0.008999763,1.30E-06,0.001650673,NA,0.001459679,NA,0.000290874,5.57E-06,0.001451906,0.003164254,25.054,74.945,3.719,15.005,21.104,10.478,4.697,19.494,1997/1998
100,South,E279000,279000,4867300,4.13,26.262,27.261,1.816,23.522,14.077,32.15,12.715,23.159,200.162,0.061,612,0.225,2255,1.408,14086,6.245,62458,997.632,567.974,25.247,0.552,5522,0.929,9290,0.663,6630,0.463697201,2.20E-05,NA,0.053266988,9.22E-05,0.000237022,NA,NA,0.005111633,0.030153738,0.012654759,0.00378485,3.32E-06,0.001688331,NA,0.001679397,0.00017624,0.000461384,1.57E-05,0.002586813,0.004612021,9.131,90.868,2.655,16.971,23.625,11.812,5.921,30.156,1997/1998
101,South,E279000,279000,4867200,4.01,11.367,14.881,NA,7.97,9.33,34.988,13.315,14.579,256.388,0.061,605,0.159,1598,0.963,9632,3.167,31678,557.871,113.712,20.021,0.65,6504,1.147,11473,0.981,9816,0.528272968,NA,NA,0.046968949,4.90E-05,0.000688964,0.000001646,0.000183481,0.019375663,0.031756781,0.012120017,0.002678105,NA,0.002521955,NA,0.001372686,NA,0.000368955,NA,0.002193933,0.004413567,5.66,94.339,3.844,16.441,17.519,12.869,8.213,35.78,1997/1998
102,South,E279000,279000,4867000,3.69,24.464,21.339,0.953,21.807,16.302,46.684,12.068,19.055,125.866,0.054,539,0.215,2154,0.964,9648,4.197,41970,1361.873,212.564,17.572,0.596,5967,1.454,14549,0.815,8151,0.665884934,NA,NA,0.03379437,0.00004395,0.000162602,NA,NA,0.005098594,0.028661109,0.013722206,0.002814955,NA,0.003156744,NA,0.002505325,NA,0.000308926,NA,0.002999729,0.003711594,6.01,93.989,3.338,18.378,23.215,15.227,7.27,26.933,1997/1998
