Field_ID,Sample.ID,Easting,Northing,ICP_ID,microplastics_fibres,microplastics_fragments,microbeads,microplastics_Other,pH,EC,Al,As,Ba,Ca,Cd,Ce,Co,Cr,Cu,Fe,Ga,Gd,K,La,Li,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,Rb,S,Sc,Sr,Th,Ti,V,Y,Zn,Zone
AF_sed_14,ENVT3361.3,400395,6468248,ENVT3361,2000,NA,NA,NA,8.36,3.28,14042,6.7,65,12125,0.375,21.5,6.6,79,132,38650,16,2.4,1322,12.8,5.5,4773,3330.7,1.8,4306,10.6,22,258,36.8,12.3,458,2.1,64.8,5.3,129.4,24.1,4.7,133.2,N_transect
AF_sed_15,ENVT3361.3,400407,6468248,ENVT3361,2998.5,NA,NA,NA,7.35,2.59,11527,3.8,22,961,0.176,14.6,4.6,30.4,105,28965,12.6,1.5,766,8.5,4.3,1010,1447.7,0.7,4066,6.1,14,228,34.7,6.7,619,1.1,16,4.9,82.2,16.5,2.5,109.3,N_transect
AF_sed_16,ENVT3361.3,400415,6468260,ENVT3361,499.75,NA,NA,NA,6.42,7.63,32704,NA,97,1748,0.098,174.6,9,65.2,62,38327,18.4,10.9,3605,81.6,34.3,3838,105.8,1.2,12259,65.2,25,329,31.6,58.3,1457,10.1,79,23.2,237.7,79.3,41,124.5,N_transect
AF_sed_17,ENVT3361.3,400423,6468272,ENVT3361,1500.75,NA,NA,NA,5.62,9.04,32771,4.1,118,1575,0.096,216.2,6.8,58.2,36,39643,18.8,16.3,3869,78.7,33.8,3647,64.1,1.9,12594,94.1,21,438,28.7,52.9,2677,8.8,151.6,15.8,198,77.5,48,50.9,N_transect
AF_sed_18,ENVT3361.4,400431,6468284,ENVT3361,3994.01,NA,NA,NA,5.67,7.76,34149,13.9,75,1821,0.194,248.3,7.6,47.7,204,57748,26.2,13.2,2595,121.7,32.5,3089,53.2,2.5,11047,76.3,19,1848,108.1,43.3,2135,7.4,63.8,16.5,170.3,61.8,60.2,191.2,N_transect
AF_sed_19,ENVT3361.4,400439,6468296,ENVT3361,11970.07,997.51,NA,NA,5.92,8.23,26072,20.1,78,2169,0.48,121.9,13.3,38,312,99194,40.7,9.6,2608,62.9,28.8,3355,72.2,4.1,13322,43.3,20,2231,120.9,37.5,2771,5.5,85.5,13.9,148,59.6,29.6,342.8,N_transect
AF_sed_20,ENVT3361.4,400447,6468308,ENVT3361,22908.37,1992.03,NA,NA,5.85,6.32,34004,6.2,62,2347,0.126,155.9,5.7,49,153,31586,15.8,10.3,2809,68.4,36.6,3772,39.3,2.9,14064,60.6,18,963,53.9,44,2463,7.2,70.3,12.8,176.3,63.8,38.9,113.1,N_transect
AF_sed_21,ENVT3361.4,400455,6468320,ENVT3361,6968.64,497.76,NA,NA,5.9,4.65,30146,13.6,59,3121,0.209,165.6,5.8,39.6,271,33438,15.5,10.8,2290,73.8,31,3707,37.9,3.9,14486,61.6,19,1935,101.5,30.4,3642,5.3,80.2,9.2,149.5,56.7,41.5,216,N_transect
AF_sed_22,ENVT3361.4,400190,6468090,ENVT3361,17991,1499.25,NA,NA,5.86,6.7,15304,8.9,123,1790,0.589,36.9,9.9,27.1,139,44050,17.5,3.7,1472,14.5,15.2,2479,59.3,6.8,8975,15.9,8,373,42.4,17.4,7988,4.3,41.9,10.2,132,48.3,7.8,341,SW_transect
AF_sed_28,ENVT3361.7,400518,6468224,ENVT3361,1501,NA,1501,NA,5.69,2.82,28382,4.7,75,1581,0.106,117.6,10.1,54.7,74,33856,14.9,7.6,2771,60.6,16.7,2915,128.2,2,5185,47.5,20,491,36,41.6,1372,8.1,63.1,15,227.4,67.5,26.4,50.1,NE
AF_sed_29,ENVT3361.7,400568,6468216,ENVT3361,9985,NA,2996,NA,4.73,6.89,31320,4.2,94,1361,0.087,108.8,5.1,54.7,64,36208,15.6,8.3,3843,50.7,22.9,3256,46.9,2.5,11586,48.1,17,485,26.2,48,3600,8.3,115.9,15.6,218.9,71.1,23.1,25,NE
AF_sed_30,ENVT3361.7,400267,6468153,ENVT3361,NA,NA,8008,NA,6.16,8.83,19353,26.1,31,3530,0.32,43.3,9.6,33.8,416,59732,26,4.3,1866,21.2,17.3,3862,160.7,3.4,10315,19.1,12,2515,690.1,21.5,2239,3.7,70,6.9,107.5,48.3,10.4,343.3,NW
AF_sed_31,ENVT3361.7,400302,6468190,ENVT3361,1997,NA,NA,NA,6.29,4.78,14765,21.6,34,1796,0.223,30.5,5,25.7,405,58647,23.8,3.3,1137,15.1,11,2001,78.8,4.2,5254,13.8,7,1557,284,13.1,1234,2.8,35.4,6.8,130.4,40.9,6.6,141.1,NW
AF_sed_32,ENVT3361.7,400371,6468173,ENVT3361,498,NA,NA,NA,6.1,9.31,8491,0.6,13,828,0.027,43,5,21.8,11,11914,NA,2.3,978,20.3,4.9,1707,76.3,0.9,9470,16.1,7,107,8.9,10.9,1117,2.7,13.7,10.1,291.6,30.9,6.6,12.6,NW
AF_sed_33,ENVT3361.8,400411,6468156,ENVT3361,3500,NA ,500,NA,NA,NA,18714,3.2,50,584,0.081,60.3,7.3,46,19,26770,8.6,4.5,1314,26.6,7.7,1639,62.7,0.6,3479,24.5,12,85,16.1,18.4,338,6.4,13.1,15,294.7,66.8,12.4,13.2,NE
AF_sed_34,ENVT3361.8,400468,6468171,ENVT3361,2000,500,NA,NA,NA,NA,11846,1.9,25,650,0.036,50.1,7.7,30.3,15,18393,0.6,3.1,1077,21.6,7.1,999,85.4,0.8,3864,18.1,10,117,11.7,12.2,610,3.5,10.2,11.3,350.9,41.7,7.8,17.8,NE
AF_sed_35,ENVT3361.8,400546,6468165,ENVT3361,2000,NA,1500,NA,NA,NA,33605,0.9,91,1508,0.097,153.3,15.5,65.1,59,37789,17.8,10.4,3496,70.8,25.9,3825,212.9,1.3,10544,62.7,25,389,33,59,1998,9.9,76.8,19.4,259.8,78.4,33.6,53.5,NE
AF_sed_36,ENVT3361.8,400577,6468196,ENVT3361,2500,500,1500,NA,NA,NA,34097,4.7,108,1536,0.124,136.2,8.8,61.3,52,35657,17.7,10.1,3167,63.2,24.2,3098,126,2.2,7235,59.5,22,539,35.6,49.6,1752,9.5,109.2,18.5,223.4,78.5,28.6,82.5,NE
AF_sed_39,ENVT3361.9,400375,6468123,ENVT3361,3000,500,NA,NA,5.78,5.01,21108,5.2,60,1244,0.081,81.3,11.9,49.3,47,29102,10.2,5.2,2397,41.1,15.7,2789,202.8,1.2,8164,31.9,17,294,21.8,34.5,843,7.1,29,17.9,290.5,62.3,16.3,59.7,NW
AF_sed_40,ENVT3361.9,400433,6468106,ENVT3361,5500,500,NA,NA,6.54,2.03,9425,5.9,17,14827,0.061,28.7,4.4,26.5,13,16403,4.3,2.2,796,13.7,5.6,1345,55.1,0.3,2640,12.4,6,95,9.3,9.6,281,3.3,47.5,8.4,202,38.8,5.3,13,NE
AF_sed_41,ENVT3361.9,400470,6468135,ENVT3361,250,250,750,NA,5.12,12.45,43250,1.8,107,1194,0.096,161.8,12,66.8,41,35880,16.2,12,4850,73.1,51,4127,119.6,1.9,15059,67.3,27,377,26.8,69.8,3493,10.5,178.3,20.8,320.7,81.9,39.3,47.3,NE
AF_sed_42,ENVT3361.9,400505,6468110,ENVT3361,1000,500,2500,NA,4.54,9.23,48186,3.6,77,845,0.081,103.6,8.8,60.9,28,35598,18.6,9,4177,42,49.6,2880,39.3,3.1,13224,48.6,27,250,21.3,64.8,2779,9.9,102.8,17.5,224.5,78.4,17.1,17.3,NE
AF_sed_43,ENVT3361.9,400249,6468097,ENVT3361,1500,1500,3000,NA,5,10.04,37198,5.2,94,1200,0.105,200.1,7.6,54.1,32,40674,20,16.8,3725,64.6,35.2,3358,46.8,2.6,16453,95.7,23,399,25.5,52.7,3469,8.9,121.3,15,179.1,78.2,40.1,23.5,SW
AF_sed_44,ENVT3361.10,400298,6468083,ENVT3361,9500,250,NA,NA,5.71,10.4,39826,9.9,61,1957,0.182,106.7,10.1,71.7,262,42931,20.4,7.2,3239,52.4,31.3,4504,65.8,1.8,13247,42.1,24,1533,230.5,60.9,2981,10.4,50.9,21,297.8,80.7,23.4,258,SW
AF_sed_45,ENVT3361.10,400337,6468095,ENVT3361,3000,250,NA,NA,5.81,8.61,39384,4.7,101,1539,0.132,133,10.4,77.5,162,45864,19.8,8.7,3737,67.3,32.9,4381,84,0.9,10994,51.9,24,471,60.6,69.7,1314,11.8,43.4,25.3,371.4,89.2,29.5,131.5,SW
